EventId,1stLargest,2ndLargest,3rdLargest,4thLargest
918,116,3,0,0
919,15,9,1,0
920,73,1,0,0
921,52,7,3,1
922,19,9,0,0
923,27,2,1,0
924,99,3,0,0
925,18,5,3,0
926,51,5,2,2
927,19,11,1,1
928,17,4,0,0
929,22,1,1,0
930,23,15,1,0
931,231,3,1,1
932,33,0,0,0
933,72,4,1,0
934,10,8,1,0
935,100,0,0,0
936,76,3,1,0
937,18,12,2,0
938,63,4,2,1
939,62,5,3,0
940,143,4,3,0
941,49,2,2,0
942,18,6,1,1
943,49,3,0,0
944,49,5,1,0
945,30,5,1,0
946,58,2,1,0
947,49,7,0,0
948,24,14,3,1
949,9,7,3,2
950,39,5,0,0
951,73,9,1,0
952,216,3,3,0
953,11,5,0,0
954,37,3,3,0
955,8,6,4,3
956,25,0,0,0
957,28,1,1,0
958,78,6,1,0
959,16,1,0,0
960,67,8,1,0
961,18,9,1,0
962,52,5,2,0
963,114,3,2,1
964,305,1,1,0
965,33,0,0,0
966,508,2,2,0
967,130,3,0,0
968,14,12,5,0
969,27,1,0,0
970,33,1,0,0
971,410,2,1,0
972,53,4,1,0
973,141,4,1,0
974,31,3,1,0
975,52,6,1,1
976,48,1,0,0
977,28,1,0,0
978,23,18,5,5
979,370,3,2,0
980,36,7,1,0
981,44,2,1,0
982,63,1,0,0
983,55,5,2,0
984,225,4,1,0
985,28,0,0,0
986,24,2,1,0
987,233,5,4,0
988,27,3,1,0
989,30,1,0,0
990,49,11,0,0
991,14,12,1,0
992,46,2,1,1
993,65,2,0,0
994,296,2,0,0
995,23,3,2,1
996,26,2,0,0
997,38,1,1,0
998,54,5,2,0
999,35,1,0,0
